,episode,reward,std,min,max
0,3,-6.763527993075542,1.83709693920248,-10.056265982226611,-3.4663432112673673
1,4,-7.190995894279621,1.8974672325928983,-9.370373488058975,-2.9364639390302165
2,5,-7.101153678101364,1.8383326491179859,-9.209807545599116,-4.238864238470386
3,6,-7.692455006204142,2.394849925959407,-13.470359225231466,-5.159423104979948
4,7,-8.31103606929626,1.4477555313203683,-9.886061184441665,-5.995328074010541
5,8,-7.464974503801857,1.494756099492297,-9.955911013297971,-5.166782014443875
6,9,-7.718660458694579,0.8864816369367133,-9.593359004175605,-6.693387088335426
7,10,-7.724256323248897,1.2037695631087637,-9.599470001802434,-5.786511983689928
8,11,-7.556207840045151,1.6963967164458342,-11.14010926410306,-5.506973504309649
9,12,-6.679620353778498,0.9805877335988361,-8.764624165983795,-5.629650987657577
10,13,-8.080149772144932,1.478526553966574,-10.022226319805977,-5.203473942794292
11,14,-7.327637868284296,1.6103524488368384,-9.856294052597285,-4.507349596644982
12,15,-8.78621925929985,1.5106788420790869,-11.444048789017275,-6.295883351183038
13,16,-7.0253243677875234,0.8629246910214393,-8.01580077703692,-5.566183412261356
14,17,-7.455050904433948,1.1014686184280003,-9.496529099140913,-5.566183412261356
15,18,-7.823884503410075,1.7327130429000175,-9.902831113123963,-4.849941062760919
16,19,-7.032884559426215,1.1886264260421833,-9.134160434529319,-4.846635037375299
17,20,-7.984179816828056,2.051158481156485,-10.23959682481645,-3.8915536095164893
18,21,-8.187463488814567,1.2015440941092668,-10.279803624798777,-6.241582733861113
19,22,-7.3492448634886784,1.4637925601184392,-9.552098903416633,-5.48849989577784
20,23,-8.303115112451941,1.1019517520124416,-9.637786918711756,-6.46984033629723
21,24,-8.486371614304883,2.1917450945711514,-11.82371601596829,-5.478292154496671
22,25,-8.497456667927432,1.7510611542290746,-11.921401476582762,-5.0673838547671215
23,26,-7.835021706042156,2.6767088922102578,-11.703492599963422,-3.074125258565115
24,27,-7.700597962993489,1.7922402814011036,-11.234836535352578,-5.48849989577784
25,28,-9.371800549162149,2.1134666462456706,-12.735336656588027,-7.0296856343533785
26,29,-8.003101859254617,1.2396108497094227,-9.145628333945416,-5.198960629828491
27,30,-5.835404496451646,1.2620044895550424,-7.4807796527599155,-3.846589750008826
28,31,-7.528675866616503,1.5179961026692304,-9.516522654896994,-5.0545500510713985
29,32,-7.09950637669977,2.1747953025223343,-11.143429886376563,-3.799458864905942
30,33,-7.553960798875947,1.2491598110555386,-8.846357846673488,-5.2723911858255175
31,34,-8.229197294535265,2.214367331292933,-12.572762559358715,-5.310833656611496
32,35,-7.480303508023631,1.0201577756383569,-9.508842319972892,-5.759403982204622
